CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
BURG - COMMERCIAL,03/27/2020 11:55:00 PM,20-016500,BURGLARY-FORCIBLE ENTRY,03X,400 12TH ST,Oakland,CA,"400 12TH ST
Oakland, CA
(37.795733, -122.255547)"
BURG - AUTO,02/26/2020 07:30:00 PM,20-905953,BURGLARY-AUTO,08X,3900 BROADWAY,Oakland,CA,"3900 BROADWAY
Oakland, CA
(37.826647, -122.257182)"
THREATS,02/19/2020 04:45:00 PM,20-010689,THREAT CRIME:INT:TERRORIZE,20X,1500 23RD AV,Oakland,CA,"1500 23RD AV
Oakland, CA
(37.784234, -122.235151)"
BURG - AUTO,02/24/2020 11:36:00 AM,20-906179,BURGLARY-AUTO,03Y,1000 BROADWAY,Oakland,CA,"1000 BROADWAY
Oakland, CA
(37.801863, -122.272663)"
,03/18/2020 11:17:00 PM,20-015181,THEFT,19X,2000 E 15TH ST,Oakland,CA,"2000 E 15TH ST
Oakland, CA
(37.786448, -122.238832)"
VANDALISM,02/26/2020 08:00:00 PM,20-906267,VANDALISM,14Y,3700 GRAND AV,Oakland,CA,"3700 GRAND AV
Oakland, CA
(37.816462, -122.245456)"
FORGERY & COUNTERFEITING,03/25/2020 11:26:00 AM,20-016130,VIOLATION OF PROBATION-FELONY,11X,5100 TELEGRAPH AV,Oakland,CA,"5100 TELEGRAPH AV
Oakland, CA
(37.837407, -122.262281)"
BURG - AUTO,01/02/2020 07:00:00 PM,20-906391,BURGLARY-AUTO,14X,400 PERKINS ST,Oakland,CA,"400 PERKINS ST
Oakland, CA
(37.810466, -122.255453)"
PROSTITUTION,01/17/2020 06:33:00 PM,20-003184,DISORDERLY CONDUCT:PROSTITUTION,19X,2000 E 15TH ST,Oakland,CA,"2000 E 15TH ST
Oakland, CA
(37.786448, -122.238832)"
OTHER,04/03/2020 09:38:00 PM,20-017641,CONTEMPT OF COURT:DISOBEY COURT ORDER/PROCESS (AMENDED),31Y,9400 EMPIRE RD,Oakland,CA,"9400 EMPIRE RD
Oakland, CA
(37.734359, -122.194939)"
BURG - AUTO,02/18/2020 02:40:00 AM,20-009745,BURGLARY-AUTO,34X,1500 92ND AV,Oakland,CA,"1500 92ND AV
Oakland, CA
(37.749314, -122.172473)"
VANDALISM,03/01/2020 11:40:00 AM,20-906400,VANDALISM,13Z,9300 SKYLINE BLVD,Oakland,CA,"9300 SKYLINE BLVD
Oakland, CA
(37.823383, -122.186902)"
BURG - AUTO,02/22/2020 06:30:00 PM,20-905398,BURGLARY-AUTO,09X,4000 PIEDMONT AV,Oakland,CA,"4000 PIEDMONT AV
Oakland, CA
(37.825445, -122.253685)"
BURG - RESIDENTIAL,02/21/2020 06:00:00 PM,20-906090,BURGLARY-FORCIBLE ENTRY,32Y,2500 98TH AV,Oakland,CA,"2500 98TH AV
Oakland, CA
(37.750338, -122.157646)"
VANDALISM,02/21/2020 11:00:00 PM,20-905992,VANDALISM,09X,3800 PIEDMONT AV,Oakland,CA,"3800 PIEDMONT AV
Oakland, CA
(37.823931, -122.255664)"
HOMICIDE,02/19/2020 09:20:00 AM,20-009721,SC UNEXPLAINED DEATH,31X,300 HEGENBERGER RD,Oakland,CA,"300 HEGENBERGER RD
Oakland, CA
(37.734635, -122.197602)"
FRAUD,02/26/2020 04:50:00 PM,20-905784,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,01X,00 EMBARCADERO WEST,Oakland,CA,"00 EMBARCADERO WEST
Oakland, CA"
DOMESTIC VIOLENCE,03/03/2020 08:00:00 PM,20-012490,THREAT CRIME:INT:TERRORIZE,30Y,7800 OUTLOOK AV,Oakland,CA,"7800 OUTLOOK AV
Oakland, CA
(37.767953, -122.164959)"
GRAND THEFT,03/01/2020 05:25:00 PM,20-906389,GRAND THEFT,01X,200 3RD ST,Oakland,CA,"200 3RD ST
Oakland, CA
(37.794649, -122.270557)"
GRAND THEFT,02/29/2020 11:20:00 AM,20-906384,THEFT,26X,400 HIGH ST,Oakland,CA,"400 HIGH ST
Oakland, CA
(37.76593, -122.223338)"
PETTY THEFT,02/01/2020 01:16:00 PM,20-010685,THEFT,18X,2200 E 21ST ST,Oakland,CA,"2200 E 21ST ST
Oakland, CA
(37.789581, -122.233085)"
STOLEN VEHICLE,02/12/2020 08:00:00 AM,20-008399,VEHICLE THEFT - AUTO,19X,2200 E 12TH ST,Oakland,CA,"2200 E 12TH ST
Oakland, CA
(37.78366, -122.238411)"
BURG - AUTO,02/22/2020 04:15:00 PM,20-905401,BURGLARY-AUTO,08X,40TH ST & WEBSTER ST,Oakland,CA,"40TH ST & WEBSTER ST
Oakland, CA
(37.828516, -122.260836)"
WEAPONS,04/01/2020 04:43:00 PM,20-017263,CARRY CONCEALED WEAPON ON PERSON,24X,35TH AV & DAVIS ST,Oakland,CA,"35TH AV & DAVIS ST
Oakland, CA
(37.785847, -122.214021)"
FORGERY & COUNTERFEITING,03/11/2020 09:00:00 PM,20-014089,OBT CREDIT/ETC:OTHER'S ID,08X,2300 BROADWAY,Oakland,CA,"2300 BROADWAY
Oakland, CA
(37.812399, -122.266077)"
FORGERY & COUNTERFEITING,03/03/2020 04:18:00 AM,20-906572,THEFT BY USE OF ACCESS CARD,13Z,6700 ARMOUR DR,Oakland,CA,"6700 ARMOUR DR
Oakland, CA
(37.834965, -122.204853)"
BURG - AUTO,03/03/2020 03:30:00 PM,20-906420,BURGLARY-AUTO,08X,00 FAIRMOUNT AV,Oakland,CA,"00 FAIRMOUNT AV
Oakland, CA"
BURG - AUTO,02/24/2020 06:00:00 AM,20-905326,BURGLARY-AUTO,26Y,900 77TH AV,Oakland,CA,"900 77TH AV
Oakland, CA
(37.752589, -122.192116)"
ROBBERY,03/06/2020 02:30:00 PM,20-012890,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",21Y,3200 BOSTON AV,Oakland,CA,"3200 BOSTON AV
Oakland, CA
(37.796345, -122.214098)"
BURG - RESIDENTIAL,03/04/2020 04:15:00 PM,20-012538,BURGLARY-FORCIBLE ENTRY,12X,4800 LAWTON AV,Oakland,CA,"4800 LAWTON AV
Oakland, CA
(37.834618, -122.257237)"
,04/17/2020 07:45:00 PM,20-909646,THEFT,,2600 BROADWAY TERRACE,Oakland,CA,"2600 BROADWAY TERRACE
Oakland, CA"
MISDEMEANOR ASSAULT,04/18/2020 02:08:00 PM,20-019802,EXHIBIT FIREARM,32X,1400 103RD AV,Oakland,CA,"1400 103RD AV
Oakland, CA
(37.740951, -122.167841)"
,05/02/2020 01:00:00 PM,20-909665,MAIL/ETC THEFT/ETC,08X,3900 SHAFTER AVE,Oakland,CA,"3900 SHAFTER AVE
Oakland, CA
(37.827526, -122.260009)"
BURG - AUTO,02/24/2020 07:10:00 PM,20-905459,BURGLARY-AUTO,12Y,5200 COLLEGE AV,Oakland,CA,"5200 COLLEGE AV
Oakland, CA
(37.836333, -122.251253)"
BURG - AUTO,02/24/2020 06:00:00 PM,20-906256,BURGLARY-AUTO,08X,2400 VALDEZ ST,Oakland,CA,"2400 VALDEZ ST
Oakland, CA
(37.813111, -122.263844)"
BURG - OTHER,02/27/2020 03:16:00 AM,20-011243,VANDALISM,31Z,400 CAPISTRANO DR,Oakland,CA,"400 CAPISTRANO DR
Oakland, CA
(37.727725, -122.179229)"
BURG - RESIDENTIAL,02/25/2020 06:00:00 PM,20-906540,BURGLARY-FORCIBLE ENTRY,03X,300 13TH ST,Oakland,CA,"300 13TH ST
Oakland, CA
(37.80223, -122.268037)"
ROBBERY,02/27/2020 04:12:00 AM,20-011210,ROBBERY-FIREARM,32Y,10300 VOLTAIRE AV,Oakland,CA,"10300 VOLTAIRE AV
Oakland, CA
(37.743799, -122.155587)"
DUI,02/20/2020 10:35:00 PM,20-010045,DUI ALCOHOL/DRUGS,34X,1400 90TH AV,Oakland,CA,"1400 90TH AV
Oakland, CA
(37.749704, -122.174124)"
BURG - AUTO,02/22/2020 12:00:00 PM,20-905386,BURGLARY-AUTO,03X,200 9TH ST,Oakland,CA,"200 9TH ST
Oakland, CA
(37.798509, -122.267303)"
ROBBERY,02/27/2020 12:25:00 AM,20-011197,ROBBERY-OTHER DANGEROUS WEAPON,01X,00 BROADWAY,Oakland,CA,"00 BROADWAY
Oakland, CA"
PETTY THEFT,03/29/2020 04:00:00 PM,20-016952,THEFT,25X,4400 CARSON ST,Oakland,CA,"4400 CARSON ST
Oakland, CA
(37.792212, -122.183628)"
BURG - AUTO,03/02/2020 12:00:00 PM,20-906373,BURGLARY-AUTO,12X,51ST ST & SHAFTER AV,Oakland,CA,"51ST ST & SHAFTER AV
Oakland, CA
(37.836721, -122.258246)"
BURG - AUTO,02/25/2020 12:36:00 AM,20-010771,BURGLARY-AUTO,09X,4000 HOWE ST,Oakland,CA,"4000 HOWE ST
Oakland, CA
(37.826481, -122.253941)"
VANDALISM,03/08/2020 10:06:00 AM,20-013184,VANDALISM-$400,07X,2300 CHESTNUT ST,Oakland,CA,"2300 CHESTNUT ST
Oakland, CA
(37.816157, -122.282574)"
VANDALISM,03/04/2020 08:00:00 AM,20-906596,VANDALISM,31Y,300 HEGENBERGER RD,Oakland,CA,"300 HEGENBERGER RD
Oakland, CA
(37.734635, -122.197602)"
BURG - COMMERCIAL,03/17/2020 02:29:00 AM,20-014869,ATTEMPTED BURGLARY,31Y,100 98TH AV,Oakland,CA,"100 98TH AV
Oakland, CA
(37.728129, -122.197428)"
,05/05/2020 10:00:00 AM,20-022583,BATTERY,19X,1800 INTERNATIONAL BLVD,Oakland,CA,"1800 INTERNATIONAL BLVD
Oakland, CA
(37.786967, -122.241898)"
MISDEMEANOR ASSAULT,04/11/2020 08:43:00 PM,20-018784,EXHIBIT FIREARM,27X,2100 50TH AV,Oakland,CA,"2100 50TH AV
Oakland, CA
(37.774347, -122.205112)"
STOLEN VEHICLE,02/11/2020 05:45:00 PM,20-008441,VEHICLE THEFT - AUTO,32X,1000 106TH AV,Oakland,CA,"1000 106TH AV
Oakland, CA
(37.73588, -122.172082)"
,03/08/2020 03:00:00 PM,20-014824,VEHICLE THEFT - AUTO,22Y,4000 RETTIG AV,Oakland,CA,"4000 RETTIG AV
Oakland, CA
(37.799571, -122.197398)"
GRAND THEFT,03/20/2020 08:00:00 PM,20-016053,GRAND THEFT,06X,3700 WEST ST,Oakland,CA,"3700 WEST ST
Oakland, CA
(37.826793, -122.271857)"
STOLEN VEHICLE,03/06/2020 01:27:00 PM,20-012876,VEHICLE THEFT - AUTO,19X,1700 E 12TH ST,Oakland,CA,"1700 E 12TH ST
Oakland, CA
(37.786892, -122.243918)"
,04/26/2020 04:45:00 PM,20-021289,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,23X,4000 ALAMEDA AVE,Oakland,CA,"4000 ALAMEDA AVE
Oakland, CA
(37.768208, -122.22405)"
VANDALISM,04/24/2020 07:30:00 AM,20-909266,VANDALISM,04X,20TH ST & THOMAS L. BERKLEY WY,Oakland,CA,"20TH ST & THOMAS L. BERKLEY WY
Oakland, CA
(37.808978, -122.268123)"
PETTY THEFT,02/22/2020 03:29:00 PM,20-010337,THEFT,29X,3700 LUNDHOLM AV,Oakland,CA,"3700 LUNDHOLM AV
Oakland, CA
(37.779364, -122.178617)"
DISORDERLY CONDUCT,02/13/2020 12:00:00 AM,20-010144,DISTURB THE PEACE,30Y,2700 RITCHIE ST,Oakland,CA,"2700 RITCHIE ST
Oakland, CA
(37.76342, -122.169123)"
FELONY ASSAULT,03/07/2020 03:45:00 AM,20-012973,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,14X,600 BELLEVUE AV,Oakland,CA,"600 BELLEVUE AV
Oakland, CA
(37.807478, -122.255985)"
BURG - AUTO,03/26/2020 10:00:00 AM,20-907735,BURGLARY-AUTO,02Y,4900 7TH ST,Oakland,CA,"4900 7TH ST
Oakland, CA"
MISDEMEANOR ASSAULT,02/29/2020 11:59:00 PM,20-012442,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,07X,700 W GRAND AV,Oakland,CA,"700 W GRAND AV
Oakland, CA
(37.812772, -122.273748)"
,05/10/2020 04:25:00 PM,20-023439,DISTURB THE PEACE,21X,2300 E 22ND ST,Oakland,CA,"2300 E 22ND ST
Oakland, CA
(37.789451, -122.230943)"
VANDALISM,02/12/2020 08:40:00 PM,20-905716,VANDALISM,09X,3800 BROADWAY,Oakland,CA,"3800 BROADWAY
Oakland, CA
(37.825927, -122.257629)"
BURG - AUTO,02/18/2020 03:43:00 PM,20-009577,BURGLARY-AUTO,31Y,200 HEGENBERGER RD,Oakland,CA,"200 HEGENBERGER RD
Oakland, CA
(37.731083, -122.199289)"
FRAUD,02/06/2020 01:45:00 PM,20-905733,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,99X,8500 VAN NUYS BOULEVARD,Oakland,CA,"8500 VAN NUYS BOULEVARD
Oakland, CA"
BURG - AUTO,02/17/2020 02:00:00 AM,20-009752,BURGLARY-AUTO,31Y,EDES AV & ENTERPRISE WY,Oakland,CA,"EDES AV & ENTERPRISE WY
Oakland, CA
(37.744085, -122.195205)"
,02/26/2020 07:19:00 PM,20-013715,SEXUAL PENETRATION W/FOREIGN OBJECT W/FORCE,14Y,500 MANDANA BLVD,Oakland,CA,"500 MANDANA BLVD
Oakland, CA
(37.813144, -122.244599)"
DISORDERLY CONDUCT,03/19/2020 09:10:00 PM,20-907521,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,12X,500 41ST ST,Oakland,CA,"500 41ST ST
Oakland, CA
(37.829968, -122.264341)"
BURG - AUTO,03/02/2020 08:20:00 PM,20-906262,BURGLARY-AUTO,12Y,6200 TELEGRAPH AV,Oakland,CA,"6200 TELEGRAPH AV
Oakland, CA
(37.848266, -122.260782)"
RECOVERED VEHICLE - OAKLAND STOLEN,02/24/2020 06:14:00 AM,20-010588,VEHICLE THEFT - AUTO,20X,E 7TH ST & DERBY AV,Oakland,CA,"E 7TH ST & DERBY AV
Oakland, CA
(37.77326, -122.230807)"
BURG - AUTO,02/22/2020 12:45:00 AM,20-905370,BURGLARY-AUTO,01X,00 JACK LONDON SQ,Oakland,CA,"00 JACK LONDON SQ
Oakland, CA"
BURG - AUTO,12/28/2019 04:15:00 PM,20-905406,BURGLARY-AUTO,09X,100 41ST ST,Oakland,CA,"100 41ST ST
Oakland, CA
(37.826177, -122.2514)"
VANDALISM,02/17/2020 09:15:00 PM,20-905846,VANDALISM,77X,38TH ST,Oakland,CA,"38TH ST
Oakland, CA"
BURG - AUTO,03/03/2020 07:00:00 AM,20-906287,BURGLARY-AUTO,13Z,7000 COLTON BLVD,Oakland,CA,"7000 COLTON BLVD
Oakland, CA
(37.838064, -122.198266)"
STOLEN VEHICLE,03/06/2020 01:27:00 PM,20-012876,PROB VIOL:REAREST/REVOKE,19X,1700 E 12TH ST,Oakland,CA,"1700 E 12TH ST
Oakland, CA
(37.786892, -122.243918)"
,04/26/2020 11:25:00 PM,20-021157,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,24Y,IFO 2550 35TH AV,Oakland,CA,"IFO 2550 35TH AV
Oakland, CA"
VANDALISM,02/23/2020 11:00:00 PM,20-010619,VANDALISM,26Y,7200 HERBERT GUICE WY,Oakland,CA,"7200 HERBERT GUICE WY
Oakland, CA
(37.758507, -122.189498)"
BURG - AUTO,03/01/2020 10:00:00 PM,20-905981,BURGLARY-AUTO,12X,TELEGRAPH AV & 47TH ST,Oakland,CA,"TELEGRAPH AV & 47TH ST
Oakland, CA
(37.83434, -122.263052)"
BURG - AUTO,02/22/2020 01:10:00 AM,20-905385,BURGLARY-AUTO,24Y,2800 BARTLETT ST,Oakland,CA,"2800 BARTLETT ST
Oakland, CA
(37.790415, -122.208016)"
,04/24/2020 06:00:00 PM,20-020834,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,33X,9200 C ST,Oakland,CA,"9200 C ST
Oakland, CA
(37.746021, -122.177523)"
WEAPONS,03/10/2020 12:22:00 PM,20-013578,CARRY LOADED FIREARM W/PRIOR FELONY CONVICTION,26Y,7000 INTERNATIONAL BLVD,Oakland,CA,"7000 INTERNATIONAL BLVD
Oakland, CA
(37.760217, -122.18921)"
BURG - AUTO,02/25/2020 06:00:00 PM,20-905852,BURGLARY-AUTO,07X,26TH ST & MANDELA PKWY,Oakland,CA,"26TH ST & MANDELA PKWY
Oakland, CA
(37.820721, -122.289261)"
PETTY THEFT,02/07/2020 07:00:00 PM,20-009244,THEFT,32X,10400 ROYAL ANN ST,Oakland,CA,"10400 ROYAL ANN ST
Oakland, CA
(37.73779, -122.1711)"
BURG - AUTO,02/15/2020 07:00:00 AM,20-008993,BURGLARY-AUTO,08X,3700 BROADWAY,Oakland,CA,"3700 BROADWAY
Oakland, CA
(37.824585, -122.258446)"
FELONY ASSAULT,02/21/2020 04:40:00 AM,20-010073,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,04X,600 W GRAND AV,Oakland,CA,"600 W GRAND AV
Oakland, CA
(37.812425, -122.271619)"
VANDALISM,03/21/2020 02:30:00 AM,20-907570,VANDALISM,22X,00 WOODCREST CIR,Oakland,CA,"00 WOODCREST CIR
Oakland, CA"
PETTY THEFT,02/24/2020 10:53:00 AM,20-010643,THEFT,34X,1400 84TH AV,Oakland,CA,"1400 84TH AV
Oakland, CA
(37.754466, -122.177784)"
BURG - AUTO,04/27/2020 12:33:00 AM,20-021167,POSSESS/ETC BURGLARY TOOLS,07X,3100 ADELINE ST,Oakland,CA,"3100 ADELINE ST
Oakland, CA
(37.823078, -122.281239)"
STOLEN VEHICLE,01/28/2020 11:00:00 PM,20-008481,VEHICLE THEFT - AUTO,34X,9400 HOLLY ST,Oakland,CA,"9400 HOLLY ST
Oakland, CA
(37.747412, -122.171235)"
VANDALISM,03/14/2020 01:55:00 AM,20-907571,VANDALISM,12Y,5700 AYALA AV,Oakland,CA,"5700 AYALA AV
Oakland, CA
(37.842631, -122.259253)"
,05/07/2020 07:00:00 PM,20-022991,BATTERY,14Y,3700 GRAND AV,Oakland,CA,"3700 GRAND AV
Oakland, CA
(37.816462, -122.245456)"
STOLEN VEHICLE,02/09/2020 09:00:00 PM,20-008482,VEHICLE THEFT - AUTO,19X,1200 11TH AV,Oakland,CA,"1200 11TH AV
Oakland, CA
(37.790782, -122.249633)"
BURG - AUTO,02/21/2020 11:00:00 PM,20-905344,BURGLARY-AUTO,08X,2600 BROADWAY,Oakland,CA,"2600 BROADWAY
Oakland, CA
(37.814845, -122.264528)"
OTHER,12/14/2017 06:10:00 AM,20-905714,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,99X,60600 POB,Oakland,CA,"60600 POB
Oakland, CA"
BURG - AUTO,01/25/2020 11:00:00 PM,20-906029,BURGLARY-AUTO,04X,1700 FRANKLIN ST,Oakland,CA,"1700 FRANKLIN ST
Oakland, CA
(37.806175, -122.268505)"
BURG - AUTO,02/24/2020 10:56:00 PM,20-010764,BURGLARY-AUTO,04X,1500 TELEGRAPH AV,Oakland,CA,"1500 TELEGRAPH AV
Oakland, CA
(37.805336, -122.270578)"
FELONY ASSAULT,01/26/2020 05:00:00 PM,20-006678,VIOLATION OF PROBATION-FELONY,02X,1000 7TH ST,Oakland,CA,"1000 7TH ST
Oakland, CA
(37.803233, -122.284972)"
BURG - AUTO,02/21/2020 07:30:00 PM,20-905305,BURGLARY-AUTO,12X,CLARKE ST & 49TH ST,Oakland,CA,"CLARKE ST & 49TH ST
Oakland, CA
(37.835744, -122.261247)"
ROBBERY,02/10/2020 12:30:00 PM,20-008412,ROBBERY-FIREARM,18X,2100 E 21ST ST,Oakland,CA,"2100 E 21ST ST
Oakland, CA
(37.790134, -122.23402)"
GRAND THEFT,03/27/2020 07:00:00 PM,20-907769,GRAND THEFT,12Y,300 63RD ST,Oakland,CA,"300 63RD ST
Oakland, CA
(37.850346, -122.252379)"
DOMESTIC VIOLENCE,02/12/2020 12:00:00 PM,20-008466,THREAT CRIME:INT:TERRORIZE,35X,2500 83RD AV,Oakland,CA,"2500 83RD AV
Oakland, CA
(37.761549, -122.165538)"
PETTY THEFT,02/16/2020 09:11:00 AM,20-009110,THEFT,10X,5800 MARSHALL ST,Oakland,CA,"5800 MARSHALL ST
Oakland, CA
(37.841573, -122.284256)"
BURG - AUTO,02/23/2020 05:50:00 PM,20-010865,BURGLARY-AUTO,19X,2000 INTERNATIONAL BLVD,Oakland,CA,"2000 INTERNATIONAL BLVD
Oakland, CA
(37.785819, -122.239982)"
BURG - AUTO,02/25/2020 10:00:00 AM,20-905660,BURGLARY-AUTO,04X,1400 WEBSTER ST,Oakland,CA,"1400 WEBSTER ST
Oakland, CA
(37.803604, -122.268653)"
BURG - AUTO,04/26/2020 04:21:00 PM,20-021109,BURGLARY-AUTO,01X,100 CLAY ST,Oakland,CA,"100 CLAY ST
Oakland, CA
(37.796373, -122.279176)"
BURG - AUTO,02/25/2020 07:15:00 PM,20-905920,BURGLARY-AUTO,14Y,3200 GRAND AV,Oakland,CA,"3200 GRAND AV
Oakland, CA
(37.811458, -122.247926)"
FRAUD,06/01/2015 01:00:00 AM,20-905619,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,04X,300 14TH ST,Oakland,CA,"300 14TH ST
Oakland, CA
(37.80292, -122.267606)"
RECOVERED O/S STOLEN,02/17/2020 07:33:00 PM,20-009368,VEHICLE THEFT - AUTO,14X,GRAND AV & MACARTHUR BLVD,Oakland,CA,"GRAND AV & MACARTHUR BLVD
Oakland, CA
(37.810193, -122.248824)"
FORGERY & COUNTERFEITING,10/15/2019 11:40:00 AM,20-905692,FORGERY,08X,3900 TELEGRAPH AV,Oakland,CA,"3900 TELEGRAPH AV
Oakland, CA
(37.828395, -122.264657)"
BURG - AUTO,02/19/2020 02:00:00 AM,20-905301,BURGLARY-AUTO,12Y,300 63RD ST,Oakland,CA,"300 63RD ST
Oakland, CA
(37.850346, -122.252379)"
PETTY THEFT,02/16/2020 07:00:00 PM,20-009289,THEFT,10X,5800 MARSHALL ST,Oakland,CA,"5800 MARSHALL ST
Oakland, CA
(37.841573, -122.284256)"
ROBBERY,02/17/2020 08:50:00 AM,20-009262,ROBBERY-FIREARM,23X,4100 INTERNATIONAL BLVD,Oakland,CA,"4100 INTERNATIONAL BLVD
Oakland, CA
(37.773309, -122.216748)"
,04/26/2020 10:00:00 PM,20-021178,SEXUAL BATTERY,31X,EDES AVE & HEGENBERGER RD,Oakland,CA,"EDES AVE & HEGENBERGER RD
Oakland, CA
(37.744722, -122.195953)"
BURG - AUTO,02/22/2020 01:50:00 PM,20-010345,BURGLARY-AUTO,12X,4300 TELEGRAPH AV,Oakland,CA,"4300 TELEGRAPH AV
Oakland, CA
(37.831801, -122.263732)"
OTHER,02/12/2020 05:25:00 PM,20-905711,MAIL/ETC THEFT/ETC,24X,3800 NEVIL ST,Oakland,CA,"3800 NEVIL ST
Oakland, CA
(37.784749, -122.208001)"
ROBBERY,03/16/2020 11:40:00 AM,20-014752,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",27X,4300 INTERNATIONAL BLVD,Oakland,CA,"4300 INTERNATIONAL BLVD
Oakland, CA
(37.772377, -122.214811)"
STOLEN VEHICLE,02/16/2020 04:00:00 PM,20-009313,VEHICLE THEFT - AUTO,03Y,7TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,"7TH ST & MARTIN LUTHER KING JR WY
Oakland, CA
(37.801377, -122.27896)"
VANDALISM,03/09/2020 08:16:00 PM,20-906850,VANDALISM,12Y,5300 MANILA AV,Oakland,CA,"5300 MANILA AV
Oakland, CA
(37.83815, -122.252991)"
BURG - AUTO,02/22/2020 06:00:00 PM,20-905392,BURGLARY-AUTO,04X,BROADWAY & FRANKLIN ST,Oakland,CA,"BROADWAY & FRANKLIN ST
Oakland, CA
(37.810864, -122.267028)"
OTHER SEX OFFENSES,03/19/2020 11:00:00 PM,20-015887,INDECENT EXPOSURE,21Y,3100 FRUITVALE AV,Oakland,CA,"3100 FRUITVALE AV
Oakland, CA
(37.79599, -122.217877)"
BURG - AUTO,02/24/2020 10:06:00 AM,20-905438,BURGLARY-AUTO,04X,1600 SAN PABLO AV,Oakland,CA,"1600 SAN PABLO AV
Oakland, CA
(37.806489, -122.271925)"
VANDALISM,02/25/2020 09:00:00 PM,20-906253,VANDALISM,19X,300 E 10TH ST,Oakland,CA,"300 E 10TH ST
Oakland, CA
(37.795021, -122.258106)"
CURFEW & LOITERING,02/19/2020 08:56:00 AM,20-009690,TRESPASS:OCCUPY PROPERTY W/O CONSENT,07X,2300 SAN PABLO AV,Oakland,CA,"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
VANDALISM,03/05/2020 05:10:00 AM,20-906301,VANDALISM,19X,1200 E 12TH ST,Oakland,CA,"1200 E 12TH ST
Oakland, CA
(37.789826, -122.248871)"
PETTY THEFT,09/28/2019 12:00:00 AM,20-905965,THEFT,14Y,700 JEAN ST,Oakland,CA,"700 JEAN ST
Oakland, CA
(37.819059, -122.246475)"
BURG - AUTO,02/26/2020 12:00:00 PM,20-905919,BURGLARY-AUTO,15X,MACARTHUR BLVD & MONTCLAIR AV,Oakland,CA,"MACARTHUR BLVD & MONTCLAIR AV
Oakland, CA
(37.806837, -122.240937)"
BURG - RESIDENTIAL,02/12/2020 02:00:00 PM,20-008472,BURGLARY-NO FORCE,10Y,800 43RD ST,Oakland,CA,"800 43RD ST
Oakland, CA
(37.832599, -122.27044)"
FRAUD,11/14/2019 08:10:00 PM,20-906281,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,13Z,6000 ASCOT DR,Oakland,CA,"6000 ASCOT DR
Oakland, CA
(37.819369, -122.196319)"
MISDEMEANOR ASSAULT,02/20/2020 09:42:00 AM,20-009895,BATTERY,30X,8100 BANCROFT AV,Oakland,CA,"8100 BANCROFT AV
Oakland, CA
(37.760721, -122.170888)"
MISDEMEANOR ASSAULT,02/26/2020 08:24:00 PM,20-011169,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,35X,2300 82ND AV,Oakland,CA,"2300 82ND AV
Oakland, CA
(37.760942, -122.168558)"
GRAND THEFT,03/10/2020 01:15:00 AM,20-906919,GRAND THEFT,09X,3900 BROADWAY,Oakland,CA,"3900 BROADWAY
Oakland, CA
(37.826647, -122.257182)"
BURG - COMMERCIAL,02/20/2020 12:00:00 AM,20-905932,BURGLARY-FORCIBLE ENTRY,31X,8100 CAPWELL DR,Oakland,CA,"8100 CAPWELL DR
Oakland, CA
(37.738671, -122.202993)"
TOWED VEHICLE,01/07/2020 12:00:00 AM,20-014304,OBT CREDIT/ETC:OTHER'S ID,33X,1200 92ND AV,Oakland,CA,"1200 92ND AV
Oakland, CA
(37.746931, -122.177003)"
PETTY THEFT,02/23/2020 10:44:00 AM,20-010816,THEFT,32Y,10300 SUNNYSIDE ST,Oakland,CA,"10300 SUNNYSIDE ST
Oakland, CA
(37.742686, -122.159891)"
FRAUD,02/28/2020 03:17:00 PM,20-906288,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,31X,8400 PARDEE DR,Oakland,CA,"8400 PARDEE DR
Oakland, CA
(37.732521, -122.204491)"
PETTY THEFT,02/08/2020 10:39:00 AM,20-007592,THEFT,07X,2400 MAGNOLIA ST,Oakland,CA,"2400 MAGNOLIA ST
Oakland, CA
(37.817416, -122.284483)"
